Model,Acc,F1_mi,Recall_mi,Precision_mi,F1_ma,Recall_ma,Precision_ma,F1_we,Recall_we,Precision_we,Execution
RF,0.812,0.812,0.224,0.771,0.812,0.217,0.812,0.812,0.295,0.763,2.27
DT,0.874,0.874,0.252,0.853,0.874,0.295,0.874,0.874,0.337,0.901,8.791
NB,0.862,0.862,0.591,0.871,0.862,0.675,0.862,0.862,0.651,0.913,9.263
LDA,0.909,0.909,0.61,0.919,0.909,0.71,0.909,0.909,0.613,0.94,20.444
QDA,0.869,0.869,0.573,0.887,0.869,0.66,0.869,0.869,0.603,0.923,11.52
LR,0.943,0.943,0.599,0.935,0.943,0.605,0.943,0.943,0.694,0.939,81.747
ABoost,0.537,0.537,0.13,0.416,0.537,0.165,0.537,0.537,0.149,0.389,152.678
k-NN,0.945,0.945,0.729,0.946,0.945,0.711,0.945,0.945,0.784,0.947,86.835
MLP,0.953,0.953,0.759,0.948,0.953,0.754,0.953,0.953,0.835,0.952,954.2
SVM,0.943,0.943,0.603,0.935,0.943,0.615,0.943,0.943,0.695,0.94,208.35
