Attack,Acc,F1,Recall,Precision,FPR
Analysis,0.9976,,0.0,,0.0
Backdoor,0.9942,,0.0,,0.0
Bot,0.9972,,0.0,,0.0
DDoS,0.8184,,0.0,,0.0
DoS,0.9681,,0.0,,0.0
DoS GoldenEye,0.9854,,0.0,,0.0
DoS Slowhttptest,0.7672,0.7379,0.9998,0.5848,0.3462
DoS slowloris,0.9922,,0.0,,0.0
Dos Hulk,0.9918,,0.0,,0.0
Exploits,0.8833,0.5854,0.9821,0.417,0.1257
FTP-Patator,0.9887,,0.0,,0.0
Fuzzers,0.9604,0.17,0.1116,0.3566,0.0076
Generic,0.9743,,0.0,,0.0
Heartbleed,1.0,1.0,1.0,1.0,0.0
Infiltration,0.9999,,0.0,,0.0
PortScan,0.9908,0.9798,0.9911,0.9689,0.0093
Reconnaissance,0.9784,,0.0,,0.0
SSH-Patator,0.9916,,0.0,,0.0
Shellcode,0.9988,,0.0,,0.0
Web Attack – Brute Force,0.9979,,0.0,,0.0
Web Attack – Sql Injection,1.0,,0.0,,0.0
Web Attack – XSS,0.9991,,0.0,,0.0
Worms,0.9999,,0.0,,0.0
