Attack,Acc,F1,Recall,Precision,FPR
Analysis,0.9976,,0.0,,0.0
Backdoor,0.9942,,0.0,,0.0
Bot,0.9999,0.9906,0.9814,1.0,0.0
DDoS,0.9999,0.9997,0.9996,0.9997,0.0001
DoS,0.968,,0.0,0.0,0.0001
DoS GoldenEye,0.9998,0.9917,0.9913,0.9922,0.0001
DoS Slowhttptest,0.9996,0.9994,0.9999,0.9988,0.0006
DoS slowloris,0.9994,0.9635,0.9667,0.9603,0.0003
Dos Hulk,0.9994,0.9606,0.9534,0.9679,0.0003
Exploits,0.9173,0.6601,0.9575,0.5037,0.0864
FTP-Patator,1.0,0.9979,0.9971,0.9987,0.0
Fuzzers,0.9711,0.468,0.3492,0.7093,0.0054
Generic,0.9925,0.8338,0.7324,0.9679,0.0006
Heartbleed,1.0,1.0,1.0,1.0,0.0
Infiltration,1.0,1.0,1.0,1.0,0.0
PortScan,0.9998,0.9996,0.9992,0.9999,0.0
Reconnaissance,0.9838,0.5197,0.4058,0.7222,0.0034
SSH-Patator,0.9997,0.9793,0.9887,0.97,0.0003
Shellcode,0.9988,,0.0,,0.0
Web Attack – Brute Force,0.9989,0.7708,0.9004,0.6738,0.0009
Web Attack – Sql Injection,1.0,,0.0,,0.0
Web Attack – XSS,0.9991,0.0398,0.0204,0.8,0.0
Worms,0.9999,,0.0,,0.0
