Attack,Acc,F1,Recall,Precision,FPR
Analysis,0.9968,0.246,0.1519,0.6455,0.0003
Backdoor,0.997,0.1018,0.0558,0.5821,0.0001
Bot,1.0,1.0,1.0,1.0,0.0
DDoS,1.0,1.0,1.0,1.0,0.0
DoS,0.977,0.2031,0.139,0.377,0.005
DoS GoldenEye,1.0,0.9983,0.9989,0.9977,0.0
DoS Slowhttptest,1.0,0.9999,0.9999,0.9999,0.0
DoS slowloris,0.9998,0.9893,0.9966,0.9822,0.0002
Dos Hulk,0.9998,0.9902,0.9828,0.9977,0.0
Exploits,0.9611,0.7202,0.87,0.6144,0.0333
FTP-Patator,1.0,1.0,1.0,1.0,0.0
Fuzzers,0.9909,0.8577,0.8756,0.8406,0.0054
Generic,0.9936,0.9884,0.9829,0.994,0.0023
Heartbleed,1.0,1.0,1.0,1.0,0.0
Infiltration,1.0,0.9412,0.8889,1.0,0.0
PortScan,1.0,1.0,1.0,1.0,0.0
Reconnaissance,0.9937,0.8114,0.7495,0.8844,0.0018
SSH-Patator,1.0,0.9994,0.9989,1.0,0.0
Shellcode,0.9986,0.5862,0.5143,0.6813,0.0005
Web Attack – Brute Force,0.9988,0.509,0.3447,0.9724,0.0
Web Attack – Sql Injection,1.0,0.8571,0.75,1.0,0.0
Web Attack – XSS,0.9988,0.5884,0.9948,0.4177,0.0012
Worms,0.9998,0.0656,0.0385,0.2222,0.0
