Model,Acc,F1_mi,Recall_mi,Precision_mi,F1_ma,Recall_ma,Precision_ma,F1_we,Recall_we,Precision_we,Execution
RF,0.984,0.984,0.903,0.983,0.984,0.86,0.984,0.984,0.97,0.984,0.942
DT,0.972,0.972,0.8,0.97,0.972,0.76,0.972,0.972,0.872,0.971,3.641
NB,0.692,0.692,0.628,0.773,0.692,0.772,0.692,0.692,0.679,0.959,0.278
LDA,0.994,0.994,0.955,0.994,0.994,0.962,0.994,0.994,0.949,0.994,1.417
QDA,0.982,0.982,0.952,0.984,0.982,0.991,0.982,0.982,0.93,0.989,0.486
LR,0.998,0.998,0.984,0.998,0.998,0.984,0.998,0.998,0.984,0.998,31.571
ABoost,0.936,0.936,0.57,0.927,0.936,0.628,0.936,0.936,0.556,0.923,52.497
k-NN,1.0,1.0,0.997,1.0,1.0,0.996,1.0,1.0,0.997,1.0,340.93
MLP,0.999,0.999,0.991,0.999,0.999,0.991,0.999,0.999,0.991,0.999,28.164
SVM,0.998,0.998,0.986,0.998,0.998,0.985,0.998,0.998,0.987,0.998,15.171
