Model,Acc,F1_mi,Recall_mi,Precision_mi,F1_ma,Recall_ma,Precision_ma,F1_we,Recall_we,Precision_we,Execution
RF,0.989,0.989,0.58,0.984,0.989,0.545,0.989,0.989,0.945,0.988,0.186
DT,0.992,0.992,0.871,0.993,0.992,0.977,0.992,0.992,0.805,0.995,0.197
NB,0.977,0.977,0.699,0.981,0.977,0.814,0.977,0.977,0.647,0.987,0.274
LDA,0.99,0.99,0.846,0.991,0.99,0.978,0.99,0.99,0.772,0.994,2.575
QDA,0.981,0.981,0.779,0.985,0.981,0.99,0.981,0.981,0.699,0.993,0.734
LR,0.991,0.991,0.84,0.991,0.991,0.911,0.991,0.991,0.79,0.993,7.471
ABoost,0.992,0.992,0.87,0.993,0.992,0.978,0.992,0.992,0.803,0.995,9.243
k-NN,0.99,0.99,0.815,0.991,0.99,0.843,0.99,0.99,0.791,0.991,607.277
MLP,0.991,0.991,0.856,0.992,0.991,0.938,0.991,0.991,0.801,0.994,24.844
SVM,0.99,0.99,0.833,0.991,0.99,0.9,0.99,0.99,0.786,0.992,0.794
